Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
"A main AR is mandibular osteonecrosis",Recombinant insulin,Glucagon,Strontium ranelate,Alendronate,Glibenclamide,Option D,"Bisphosphonates (e.g., Alendronate) are associated with osteonecrosis of the jaw."
"Receptor and the corresponding tissue. Choose the correct pair:",Nicotinic N2 - Skeletal Muscle,Adrenergic A1 - Sweat glands,Adrenergic b2 - Heart,Muscarinic M2 - Sympathetic ganglia,Nicotinic N2 - Parasympathetic ganglia,Option E,"N2 (Nicotinic) receptors are located in the autonomic ganglia (Parasympathetic and Sympathetic) and adrenal medulla."
"Cardiogenic shock could be treated with...",Salbutamol B2 agonist,Ephedrine,Dobutamine B1 agonist,Phenylephrine or Imidazole,None is correct,Option C,"Cardiogenic shock: parenteral-IV Dobutamine (B1 agonist)"
"Could indirect adrenergic stimulants be used to treat CNS disorders like Attention Deficit Hyperactivity (ADHD) or Narcolepsy?",Yes but not these disorders,Methylphenidate is an option,No they act peripherally,Yes Methylphenidate is an example by modifying peripheral Cholinergic transmission,Yes combined with NSAIDS,Option B,"Attention deficit hyperactivity disorder (ADHD): Methylphenidate (psychostimulant)."
"It is useful to treat anaphylactic shock",Pseudoephedrine,Parenteral epinephrine,Phenylephrine,Oral epinephrine,Epinephrine inhaled,Option B,"Systemic allergic reaction (anaphylactic shock): Epinephrine parenteral."
"Asthma treatments are mainly...",b-agonists and anti-inflammatories,Bronchodilators and antitussives,Antihistamines,b-Blockers,Antihistaminics and expectorants,Option A,"Asthma treatment involves B2 agonists (Salbutamol) and Anti-inflammatory agents (Corticosteroids)."
"Neuroleptics MOA",Activate the CNS cholinergic pathways,Inhibit CNS dopaminergic pathways,Activate the release of serotonin,Activate dopamine receptors,Serotonin reuptake inhibition,Option B,"Neuroleptics (e.g., Phenothiazines, Butyrophenones) act as Dopaminergic antagonists."
"Buserelina...",Is an AGONIST of GnRH,A clinical use if the restoration of hormonal function,The target tissue is the hypophysis,Slowing the production of pituitary and sex hormones,All are correct,Option E,"Buserelin is a Synthetic GnRH AGONIST. It targets the hypophysis. Uses include restoration of hormonal function (low doses) or slowing production (chronic)."
"It is a Beta blocker adverse effect...",Tiredness,Hyperglycemia,Hepatomegaly,Tachycardia,Bronchodilation,Option A,"Beta-blockers (e.g., Propranolol) can cause tiredness/fatigue, bradycardia (not tachycardia), and bronchoconstriction (not bronchodilation)."
"Regarding the pharmacological interactions of Acetylsalicylic Acid (AAS), what is the specific consequence of concurrent administration with Methotrexate?",Decreased absorption of Methotrexate,Increased risk of thrombosis due to platelet aggregation,Increased toxicity of Methotrexate,Decreased hypoglycemic effect,Neutralization of the anti-inflammatory action,Option C,"AAS + Methotrexate -> increased toxicity of Methotrexate"
"Which constellation of symptoms is explicitly described as a potential result of fast Intravenous (IV) use of Metamizole?",Severe bronchoconstriction and anaphylactic shock,Facial flushing heat palpitations hypotension and nausea,Acute hepatic necrosis and jaundice,Reye's syndrome with acute encephalopathy,Gastrointestinal bleeding and duodenal ulcers,Option B,"Fast IV use can produce: facial flushing, heat, palpitations, hypotension and nausea."
